dataset,eps_f,eps_i,gridmode,initmode,n1,n2,ntype,num_iter,quantization_error,run_id,sigma_i,topographic_error
box,0.005,0.5,RECTANGLE,PCAINIT,10,10,GAUSSIAN,10000,0.22506834163896408,0,500000.0,0.05
box,0.005,0.005,RECTANGLE,PCAINIT,10,10,GAUSSIAN,10000,0.13216714107923408,0,0.5,0.0
box,0.005,0.005,RECTANGLE,PCAINIT,10,10,GAUSSIAN,10000,0.13588081772998234,0,3.0,0.0
box,0.005,0.5,RECTANGLE,PCAINIT,10,10,GAUSSIAN,10000,0.11707561317213805,0,3.0,0.0
box,0.005,0.5,RECTANGLE,RANDOM,10,10,GAUSSIAN,10000,0.2335179283842445,0,1e-06,0.95
box,1.0,1.0,RECTANGLE,PCAINIT,10,10,GAUSSIAN,10000,0.14655733668678536,0,3.0,0.84
